City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Baykit,RU,1667600675,61.67,96.37,92,99,7.95,2.55
Ryōtsu-minato,JP,1667600428,38.0833,138.4333,81,59,51.67,9.4
Kaitangata,NZ,1667600675,-46.2817,169.8464,83,76,47.89,12.84
Bluff,NZ,1667600676,-46.6,168.3333,95,63,50.22,24.76
Mataura,NZ,1667600676,-46.1927,168.8643,97,70,49.17,10.16
Hermanus,ZA,1667600676,-34.4187,19.2345,76,90,64.8,9.15
Sungai Penuh,ID,1667601027,-2.0833,101.3833,100,93,64.85,1.16
Torbay,CA,1667600677,47.6666,-52.7314,40,94,44.49,8.05
San Patricio,US,1667600677,28.017,-97.5169,59,73,86.54,19.3
Bengkulu,ID,1667600677,-3.8004,102.2655,100,87,75.65,2.42
Hong Kong,HK,1667600678,22.2855,114.1577,88,85,71.33,11.99
Naze,JP,1667601028,28.3667,129.4833,21,65,63.52,14.5
Ambur,IN,1667601029,12.7833,78.7,39,98,69.26,1.9
Sawtell,AU,1667601030,-30.3833,153.1,75,82,65.19,9.22
Barrow,US,1667601030,71.2906,-156.7887,100,79,17.62,14.97
New Norfolk,AU,1667601032,-42.7826,147.0587,31,55,59.72,1.72
Jumla,NP,1667601032,29.2747,82.1838,0,71,43.84,4.72
Igarka,RU,1667600679,67.4667,86.5833,100,95,10.83,9.82
Tuktoyaktuk,CA,1667600680,69.4541,-133.0374,75,79,10.4,6.91
Punta Arenas,CL,1667600680,-53.15,-70.9167,75,72,57.31,16.11
Vaini,TO,1667600680,-21.2,-175.2,20,74,80.76,9.22
Santa Cruz Cabrália,BR,1667600680,-16.2781,-39.0247,100,94,66.43,9.22
Cutlerville,US,1667600680,42.8409,-85.6636,100,85,67.1,7.0
Luanda,AO,1667600681,-8.8368,13.2343,75,83,78.8,6.91
Valparaíso,CL,1667600681,-33.0393,-71.6273,75,72,61.03,9.22
Ilulissat,GL,1667600681,69.2167,-51.1,75,100,28.42,9.22
Ostrovnoy,RU,1667600681,68.0531,39.5131,100,96,36.99,11.3
Cayenne,GF,1667600682,4.9333,-52.3333,0,100,75.24,1.14
Port Moresby,PG,1667600682,-9.4431,147.1797,20,70,83.62,4.61
